Ticker,5Y Sharpe Ratio
AVMU,-0.5945014285908612
AVMV,0.8272586358657095
AVNM,1.0727274064723502
AVNV,1.1271125680577245
AVRE,-0.08138149116980467
AVS,-1.5008683237302356
AVSC,0.18030733022914083
AVSD,0.45601355574230695
AVSE,0.35562305254170345
AVSF,-0.47318503766237396
AVSU,0.44199407405339436
AVUQ,16.50842346031159
AVUS,0.4555656965918611
AVUV,0.30656099758637134
AVXC,0.6609122028937713
AWAY,-0.2704269194342969
AWEG,0.4924193661135644
AXNQF,
AZTD,0.6335535925740989
BAB,-0.9761390744030843
BABX,0.3945720304621966
BAFE,0.07913466019044889
BAGY,10.0229790222127
BAI,1.0460119928559926
BALI,1.512155951690694
BALT,0.9735197660415609
BAMA,1.609687793384532
BAMB,0.3726650242459809
BAMD,0.8860100863395692
